"ngram" "target" "count"
"1" "a" "great" 17771
"2" "aa" "batteries" 5
"3" "aaa" "s" 3
"4" "aaahhhhh" "oohh" 4
"5" "aaasmtg" "cornelia" 3
"6" "aac" "u" 3
"7" "aadhaar" "card" 4
"8" "aagaard" "farms" 4
"9" "aaip" "festival" 3
"10" "aakash" "tablet" 3
"11" "aaliyah" "s" 3
"12" "aam" "online" 9
"13" "aamer" "anwar" 4
"14" "aamir" "khan" 10
"15" "aan" "zee" 4
"16" "aaohn" "j" 4
"17" "aapc" "welcome" 3
"18" "aapl" "stock" 5
"19" "aar" "s" 3
"20" "aardman" "animations" 3
"21" "aardvark" "s" 3
"22" "aarhus" "denmark" 3
"23" "aaron" "rodgers" 104
"24" "aarp" "card" 10
"25" "aas" "rdcentury" 17
"26" "aau" "game" 6
"27" "aavg" "looking" 3
"28" "aaww" "thank" 3
"29" "ab" "initio" 24
"30" "aba" "update" 5
"31" "abad" "santos" 3
"32" "abandon" "ship" 4
"33" "abandoned" "us" 7
"34" "abandonment" "issues" 10
"35" "abaya" "s" 6
"36" "abba" "father" 9
"37" "abbas" "kiarostami" 3
"38" "abbaye" "notre" 3
"39" "abbey" "road" 13
"40" "abbie" "hoffman" 3
"41" "abbot" "kinney" 13
"42" "abbott" "s" 11
"43" "abbottabad" "compound" 5
"44" "abbreviated" "version" 3
"45" "abby" "s" 29
"46" "abc" "family" 63
"47" "abd" "al" 3
"48" "abdc" "stage" 12
"49" "abdominal" "pain" 12
"50" "abdu" "l" 43
"51" "abduction" "convention" 4
"52" "abdul" "aziz" 23
"53" "abdullah" "ahmad" 8
"54" "abdur" "raheem" 3
"55" "abe" "lincoln" 20
"56" "abel" "ferrara" 4
"57" "abercrombie" "fitch" 9
"58" "aberdeen" "scotland" 3
"59" "abernathy" "woody" 3
"60" "abert" "s" 3
"61" "abhay" "deol" 3
"62" "abhorrent" "apartheid" 4
"63" "abi" "waqqas" 3
"64" "abiding" "citizens" 9
"65" "abigail" "s" 8
"66" "abilene" "texas" 4
"67" "abilities" "j" 4
"68" "ability" "can" 4
"69" "abin" "sur" 3
"70" "abita" "s" 3
"71" "abject" "poverty" 12
"72" "able" "bodied" 39
"73" "ableton" "live" 7
"74" "ablin" "chief" 3
"75" "abnormal" "status" 11
"76" "abnormally" "high" 5
"77" "abo" "elementary" 3
"78" "aboard" "rt" 7
"79" "abodah" "zarah" 4
"80" "abode" "lovers" 7
"81" "abolished" "slavery" 3
"82" "abominable" "dr" 5
"83" "abominations" "like" 3
